Name,Hours,Location,isFeatured,isNew,Description,Logo,Category
Ethos Summit,All week days - 11am to 10pm.,Palladium,,,"Ethos Watches is Indias largest chain of luxury watch boutiques, with 44 stores across 14 cities. Founded with the vision to be the biggest and finest retailer of premium and luxury watches in India, Ethos incorporates exemplary ethical and customer service standards. With a well-balanced and diverse portfolio of men’s and women’s timepieces, we are leaders in the Indian watch industry. Influenced by the world of luxury and culture, Ethos curates the best of the world’s iconic watch brands, including Rolex, Cartier, Omega, Breitling, IWC, TAG, Blancpain, Carl F. Bucherer, Longines, JLC and Rado, amongst others. Through our commitment to customer service, Ethos brings sophistication, style advice and knowledge to watch enthusiasts across India. Our stores are located at Mumbai, Bangalore, Chennai, Hyderabad, Delhi, Gurgaon, Chandigarh, Pune, Ahmadabad, Nagpur, Aurangabad, Bhopal, Surat and Ludhiana. Ethos also has a strong presence in travel retail, with airport stores at Delhi - International and Domestic, Bangalore ,International, Mumbai ,Domestic, Hyderabad ,International and Domestic and Ahmadabad –Domestic. Launched in 2012, www.Ethoswatches.com is a niche, one-of-a-kind portal. With over 6000 spectacular watches on display - each meticulously segregated by filters including Brand, Price, Gender, Movement, Case Material, Strap Type and Water Resistance, to name a few, and over 50 luxury brands, watch enthusiasts are offered a varied collection to choose from. The website clocks over 360,000 visits and 1.8 million page views and over 12,000 calls received by the Luxury Watch Helpline every month. The unique watch concierge service is the country’s only ‘luxury watch helpline where customers can dial in and speak with exclusive ‘Luxury Watch Consultants for assistance in choosing a premium timepiece. For more details, visit ethoswatches.com.",,"Watches, Jewellery , Fashion Accessories"
Fab India,All week days - 11am to 10pm.,Grand Galleria,,,"Fab India is Indias largest private platform for products that are made from traditional techniques, skills and hand-based processes. Fab Indias products are natural, craft based, contemporary, and affordable.",,General Fashion
Faces,All week days - 11am to 10pm.,GG Connect,,,"High Street Phoenix presents Faces a store that offers an exclusive line of Cosmetics just in time for the festive season. With a proud Canadian heritage spanning 40 years, FACES Cosmetics offers an exclusive line of makeup, skincare products and personal care accessories. FACES operate a state-of-the-art R,D and product testing facility at Toronto, while its products are manufactured in North America and Asia. Not tested on animals, FACES products are hypoallergenic and conform to the most stringent quality and safety requirements.",,"Cosmetics, Salon, Spas , Optics"
FCUK,All week days - 11am to 10pm.,Palladium Second Level,,,"Founded in 1972 by Stephen Marks, French Connection, the edgy, attitudinal, high street British fashion brand set out to create well-designed and fashion-forward clothing with a quirky spin on design.",,General Fashion
Food Hall,All week days - 11am to 10pm.,Palladium Third Level,,,"The supermarket for gourmet food, fruits and vegetables , ready-to eat meals and snacks, beverages and dairy products plus a whole lot more can be shopped here.",,"Hypermarkets, Supermarket , Gourmet"
FOREST ESSENTIALS,All week days - 11am to 10pm.,Palladium Second Level,,,"Pure natural body products that include scrubs, moisturizers, exfoliaters, bath crystals, conditioners and oils, Forest Essentials provides them all. An excellent options for gifting to oneself and loved ones.",,"Cosmetics, Salon, Spas , Optics"
Forever New,All week days - 11am to 10pm.,Skyzone First Level,,,"Forever New ensures customers are always able to find the latest must have items to add to their wardrobe, with prices to suit every budget.",,Womens Fashion
Fossil,All week days - 11am to 10pm.,Palladium HSU Ground Level,,,"Fossil Group Inc. (NASDAQ: FOSL) is a global company specializing in the design, innovation, and marketing of fashion lifestyle and accessory products. At the heart of Fossil’s vision is a commitment to fostering creativity and delivering the best in design through the company’s namesake FOSSIL brand and a portfolio of internationally recognized owned and licensed brands. The FOSSIL brand is rooted in authenticity and a distinctive modern-vintage design aesthetic. With nearly 400 stores worldwide and a strong global e-commerce business (www.fossil.com). Fossil is internationally known for its eclectic assortment of lifestyle and accessory items including watches, jewellery, handbags, and clothing. The company is constantly developing its multi-brand portfolio through its core competencies in innovative branding, world-class design, and dynamic global distribution",,"Watches, Jewellery , Fashion Accessories"
Furla,All week days - 11am to 10pm.,Palladium First Level,,,"Italian brand Furla is known for its exclusive range of of leather handbags, shoes and accessories small leather goods such as belts, wallets and purses.",,"Foot Fashion, Bags, Luggage , Accessories"
Gajalee,All week days - 11am to 10pm.,Courtyard,,,"Each restaurant provides a rich , unique course of coastal cuisine, prepared by expert chefs, who are true masters in their craft. In fact, some of the culinary innovations at Gajalee have gone on to become household names including the Bombil Fry (Bombay Duck), the Clam Koshimbir , the Prawns Pickle.",,"Cafes, Restaurants , Desserts"
Gangar Eyenation,All week days - 11am to 10pm.,Sky Zone First Level,,,"High Street Phoenix in Lower Parel has always been associated with up-marked brands, style and high fashion! And now, it has another feather in its cap. Gangar Eyenation, easily Mumbais most stylish eyewear store has opened its swanky doors in Lower Parel at High Street Phoenix. What started off as a one-store dream has now emerged into a trendy chain of 44 stores located all across Mumbai, Pune and Gujarat? Gangar Eyenation has certainly done the metropolis proud with its unique growth story. With the launch of this High Street Phoenix store, Gangar Eyenation has clearly emerged as the one-stop shop for trendy Mumbaikars looking for the most contemporary spectacles, contact lenses, sunglasses, powered sunglasses and eye care advice. About GANGAR EYENATION Gangar Opticians Pvt. Ltd. has established themselves as one of the countrys top opticians with over 4 decades of experience in eyewear solutions. We established in 1977 and are promoted by the Gangar’s, India´s most respected and well known optician family. With a trusted family name behind us, this professionally-managed brand has transformed itself into a fast growing and rapidly expanding chain of eyewear solutions. Today, Gangar Eyenation has grown from a single store to one of the largest chains of eyewear solutions with over 40 stores in Mumbai, Pune, Surat , Vadodara",,"Cosmetics, Salon, Spas , Optics"
GANT,All week days - 11am to 10pm.,Palladium Second Level,,,n/a,,Mens Fashion
GAS,All week days - 11am to 10pm.,Courtyard Ground Floor,,,"We have been running for the last thirty years. We have sped up and we have slowed down. We have succeeded and we have outdone ourselves. We have fallen down and we have picked ourselves back up again. We have not stopped a second giving you the purest and most innovative denim, catalyser of a timeless total look. Grit, dynamism, determination and a pinch of (lucid) folly are the values that have been crucial to overcoming the difficulties and achieving the successes that have marked GAS’s 30 years. A link between denim and the world of bikers, inseparable since the days of the legendary ""rebels"" An attitude that we also find in sport, especially in motorcycling, and whose riders are a constant source of inspiration. A relationship that has acquired a very special value for GAS during its long partnership with the world’s leading motorcycle manufacturer and its Repsol Honda MotoGP team, 2013 World Champions with the baby champ, Marc Márquez.",,General Fashion
Gelato Italiano,All week days - 11am to 10pm.,Courtyard,,,"Gelato is an ancient Italian frozen dessert, a far more recent variant of which is ice cream. As such, gelato is made with some of the same ingredients as most other frozen dairy desserts. Milk, cream, various sugars, flavoring including fruit and nut purees are the main ingredients.",,"Cafes, Restaurants , Desserts"
GLOBAL DESI,All week days - 11am to 10pm.,Palladium Third Level,,,"Brought to you by well know Indian fashion designer- Anita Dongre, brings classic and premium Indian wear for women.",,Womens Fashion
GOSSIP,All week days - 11am to 10pm.,Palladium Third Level,,,"Step in for some interesting and classy choices in footwear for men, women and children.",,"Foot Fashion, Bags, Luggage , Accessories"
Gucci,All week days - 11am to 10pm.,Palladium Ground Level,,,"Founded in Florence in 1921, Gucci is one of the worlds leading luxury fashion brands.",,"Foot Fashion, Bags, Luggage , Accessories"
Guess,All week days - 11am to 10pm.,Palladium First Level,,,"Guess, the premium apparel and accessories brand for men and women was established in 1981. GUESS began as a jeans company and has since successfully grown into a global lifestyle brand. Today GUESS designs, markets and distributes full collections of women and men apparel as well as accessories. The store is now open at The Palladium.",,General Fashion
Guess Accessories,All week days - 11am to 10pm.,GG Connect,,,"High Street Phoenix launches the Guess Accessories Store this season at the Grand Galleria and presents two exciting collections as well. To slake the shopping needs of every girl, Guess Accessories presents: The GUESS Jewellery Spring 2011 Collection, and the GUESS Dynamite Leo collection of animal print arm candies. The Guess Jewellery Spring 2011 Collection, is all about dramatic pieces with playful styles that are sure to be must haves in any girls accessory shopping list. This collection has the perfect assortment to represent the young and innocent side of every Guess Girl. Trust this fresh collection to become your latest crush!",,"Watches, Jewellery , Fashion Accessories"
Haagen Dazs,All week days - 11am to 10pm.,Food Court,,,"Haagen-Dazs offers the purest and finest ingredients in the world and crafts them into the best ice cream, sorbet and frozen yogurt available. Come treat yourself to the finest ice cream desserts at Haagen-Dazs!",,"Cafes, Restaurants , Desserts"
Hackett London,All week days - 11am to 10pm.,Palladium Second Level,,,"We pride ourselves on having our own point of view on menswear, based on authentic British style. With a worldwide reputation for designer menswear, personal tailoring and accessories, we are the home of essential British clothing and style.",,Mens Fashion
Hamleys,All week days - 11am to 10pm.,courtyard,,,"Hamleys is one of the worlds largest toy shops. It stocks toys and gifts for children of all ages. Considered a haven for children, they boast of everything from soft toys to video games.",,"Books, Music, Toys , Games"
Harman Kardon,All week days - 11am to 10pm.,Grand Galleria Ground Level,,,"Harman Kardon, a unit of Harman International Industries, Incorporated, designs and builds audio equipment for consumers and the automotive industry. Harman Kardon focuses tightly on the needs of listeners. It applies the stratospheric standards of the most finicky audiophile to DVD players, audio/video receivers and other sound systems that anyone can use easily.By integrating the highest audio standards into sleek and simple-to-use products, Harman Kardon delivers a listening experience like no other. Today, in every Harman Kardon product you will not only find the most innovative, technologically advanced audio solution, you willfind a caliber of industrial design and user interaction that makes itan objet d’art within the modern home. But this is not a case of equaldedication to both audio and form. We believe they are inseparable.",,"Electronics, Gizmos , Gadgets"
"Heel , Buckle",All week days - 11am to 10pm.,Palladium level 3,,,"Launched as a bespoke studio in London’s Hampstead, in 2011, Heel , Buckle has since its inception, had one overriding objective: to bring to its customers footwear that is distinctive not just in terms of its style and look, but also exceptional with regards to quality. Now in our retail avatar, we personally select all the designs we stock and specifically customise them for the markets we operate in - so rest assured that when you shop at Heel , Buckle, the shoes you purchase will be unmatched in their style quotient and reflect a level of elegance that only results from the passionate effort we put in at everything we do at Heel , Buckle. Being a multi-brand concept footwear label, we have the advantage of scouting global trends and brands, and stocking only those designs we find worthy of our discerning clientele. So go ahead and acquaint yourselves with Heel , Buckle, and remember: elegance begins with the shoes. ",,"Foot Fashion, Bags, Luggage , Accessories"
Helios,All week days - 11am to 10pm.,GG Connect,,,"Helios the high-end multi-brand watch chain houses over 40 premium international watch brands. Launched by Titan Industries, Indias largest watch manufacturer, Helios provides a buying experience unparalleled in the Indian context and triggers the taste-buds of the most discerning watch connoisseur. Providing a premium buying and watch owning experience for the global Indian through the international premium watch brands the store has in-store knowledgeable consultants whose will help you in choose from over 40 international watch brands including Versace, Emporio Armani, Roberto Cavalli, Paco Rabanne, Baume , Mercier, Movado, Hugo Boss, Fossil, FCUK, Titan, Xylys, DKNY, Nina Ricci, Esprit, Tommy Hilfiger, Citizen, Seiko, etc.",,"Watches, Jewellery , Fashion Accessories"
HiDesign,All week days - 11am to 10pm.,Palladium Third Level,,,"Hidesign has grown into a global brand recognized for its quality, ecological values and personalized service. By keeping its focus on a classic contemporary look, Hidesign caters to the savvy and sophisticated urban professional. The leather collection includes handbags, clutches, briefcases, laptop cases, wallets, belts and garments.",,"Foot Fashion, Bags, Luggage , Accessories"
Hugo Boss,All week days - 11am to 10pm.,Palladium Ground Level,,,"Formal wear for men including accessories for men, Hugo Boss provides wonderful options for men in the category.",,Mens Fashion
Hush Puppies,All week days - 11am to 10pm.,SkyZone Ground Level,,,For ultimate soft and comfortable international footwear Hush Puppies provides an excellent range of footwear for men and women for formal and informal occasions.,,"Foot Fashion, Bags, Luggage , Accessories"
Inc-5,All week days - 11am to 10pm.,SkyZone Ground Level,,,Inc. 5 provides a good range of footwear for men and women. Formal pairs from leading national brands are also stocked including its home grown labels that allow for good selection and various price points .,,"Foot Fashion, Bags, Luggage , Accessories"
Indigo Deli,All week days - 11am to 10pm.,Palladium First Level,,,"The Indigo Deli is a full service gourmet hub. Spread over the mezzanine floor, it is both a restaurant and fine food/kitchen store. It boasts an extensive all-day dining menu of breakfast, sandwiches, coffees, teas and fine wines.",,"Cafes, Restaurants , Desserts"
Induslnd Bank,All week days - 11am to 10pm.,Grand Galleria,,,Induslnd bank ATM,,
INGLOT,All week days - 11am to 10pm.,Palladium Second Level,,,"INGLOT Cosmetics launches their brand new store in Mumbai atPalladium Mall, located in Lower Parel. Following the success of INGLOTS existing stores around the country the new store in Mumbai is one of a kind. It offers a complete range of high-end cosmetics with an exhaustive collection, including over 200 shades of eye shadow, nail polish and over 150 shades of lipstick. Additionally, the brand also offers selective products which are exclusive to the Palladium store. Inglot being one of the world’s leading cosmetics and make-up brand offers a unique blend of vibrant and gorgeous colour product lines. Spread over 450 sq. ft approx, the new Inglot store is more spacious and offers the latest trends in make-up, truly making it a women’s paradise.Designed by the Inglot International Team, the store features the first INGLOT Video Wall. The visually pleasing wall is one huge screen comprised of 6 smaller screens. We are constantly developing new products like the world’s first ever Breathable Nail Enamel ensuring better health care for nails whilst enhancing their beauty, colour play mascara, body pigments etc.Our unique and economical Freedom System allows customers to experiment with countless shades and colour combinations of different face products, giving them the opportunity to create their own customized colour palette."" With elegant interiors and an international ambience the new Inglot Store gives women an ultimate cosmetic shopping experience, thus making it a much sought after shopping destination!",,"Cosmetics, Salon, Spas , Optics"
I store by rel,All week days - 11am to 10pm.,Palladium (Second floor),,,The Apple Macintosh brand for all Mac products and accessories. You can also get your systems fixed here as it doubles as a service centre.,,
Its About Time,All week days - 11am to 10pm.,Palladium High Street Units,,,Its About Time - offers one of the finest collection of swiss watches in India.,,"Watches, Jewellery , Fashion Accessories"
"Jack , Jones",All week days - 11am to 10pm.,Palladium Second Level,,,"Jack and Jones is a democratic jeans brand making it easy for fashion conscious men to create their own personal style. The four lines, Jeans intelligence, Premium, Premium Vintage and Premium Tech have quite different target groups and expressions design-wise. All the four brand-lines have trendy, relaxed and cool designs with super fits, offering great styles to young jeans freaks as well as grown up rebels.",,Mens Fashion
Jashn,All week days - 11am to 10pm.,Grand Galleria,,,"Jashn Sarees is known for their traditional and elegant sarees. Jashn Sarees specialise in bridals and traditional sarees, but have a variety of contemporary styles too.",,Womens Fashion
JCB,All week days - 11am to 10pm.,Palladium Second Level,,,"When you think haute, think Jean - Claude Biguine.  With perfectly crafted hair and skin products, coupled with services that far exceed mere indulgence, weve taken our place amongst the most chic salon-spa chains in the world. And wed like to think, the trendiest.  Our top French stylists and aestheticians work closely with trained Indian beauty experts, to discover looks that perfectly complement our Indian patrons.  And as experts in the art of beauty, we also act responsibly. By giving back to the environment. With the independently developed Biguine Bio, a 100% organic range of skin products that offers beauty au natural.  Reasons enough to pay us a visit? We certainly think so.",,"Cosmetics, Salon, Spas , Optics"
Jimmy Choo,All week days - 11am to 10pm.,Palladium Ground Level,,,"""Jimmy Choo is an iconic luxury lifestyle brand defined by an empowered sense of glamour and a confident sense of style. Founded in 1996 by couture shoe designer Jimmy Choo, and then Vogue accessories editor Tamara Mellon, the products are synonymous as utterly sexy, elegant and unique with a deeply feminine and sensual, sculpted silhouettes. A pioneer in the art of celebrity dressing , a celebrity favourite, Jimmy Choo today encompasses a complete luxury lifestyle accessory brand with womens shoes, handbags, small leather goods, scarves, sunglasses, eyewear, belts, mens shoes and fragrance. """,,"Foot Fashion, Bags, Luggage , Accessories"
Just In Vogue,All week days - 11am to 10pm.,Grand Galleria,,,"Just In Vogue is an exclusive destination of luxury watches from International brands like Kenneth Cole, Skagen, Aspen, Tissot , Calvin Klein, Emporio Armani all under one roof. With a well balanced spectrum of Indian , International watch brands, customers are guaranteed an international shopping experience and a wide offering, while selecting a watch to match their style. Other world famous brands available at Just In Vogue are Guess, Police, Pierre Cardin, DKNY, Fossil, Esprit, Ed Hardy, Diesel, Rado, Tommy Hilfiger, Paco Rabanne, Being Human, Casio, Citizen and more. Just In Vogue is an exclusive destination of luxury watches from International brands like Kenneth Cole, Skagen, Aspen, Tissot , Calvin Klein, Emporio Armani all under one roof. With a well balanced spectrum of Indian , International watch brands, customers are guaranteed an international shopping experience and a wide offering, while selecting a watch to match their style. Other world famous brands available at Just In Vogue are Guess, Police, Pierre Cardin, DKNY, Fossil, Esprit, Ed Hardy, Diesel, Rado, Tommy Hilfiger, Paco Rabanne, Being Human, Casio, Citizen and more.",,"Watches, Jewellery , Fashion Accessories"
KENNETH COLE,All week days - 11am to 10pm.,Palladium Second Level,,,"Kenneth Cole is a quintessential metropolitan lifestyle brand for modern men and women who are confident, clever and cool. Located on level 2, this is the India flagship store of the brand.",,General Fashion
Kiehls,All week days - 11am to 10pm.,Palladium First Level,,,"Kiehls was founded as an old-world apothecary in New Yorks East Village neighborhood over 150 years ago. Throughout the years, we have remained dedicated to providing our patrons uniquely efficacious skin and hair products through the most attentive, personalized service. Each of us is committed to serving our customers and communities alike through the highest service standards.",,"Cosmetics, Salon, Spas , Optics"
Kipling,All week days - 11am to 10pm.,Palladium Third level,,,"The KIPLING story is one of great passion, creative and entrepreneurial spirit. It all started in 1987 in a small flat in Antwerp, the city of fashion. Three keen enthusiasts decided to make their entrance into the fashion world with a trendy yet affordable collection of bags. Armed with a strong brand, a powerful image, and an extensive range of fashionable, practical and high quality bags, KIPLING has been busy conquering the world over the last 25 years. Or as the British quality newspaper puts it: ‘KIPLING has taken the bag world by storm��? Every bag has its own mascot monkey dangling from it. Today, KIPLING plays a part in the everyday life of nearly 40 million women in more than 64countries throughout the world. Their KIPLING accompanies them on their way to work, on their shopping trips, whilst playing sports, at work, and on their evenings out. No wonder because KIPLING bags are simply unique, they are not only super trendy but they are also of high quality, practical and affordable.",,"Foot Fashion, Bags, Luggage , Accessories"
La Prairie,All week days - 11am to 10pm.,Palladium Ground Floor,,,"""In a quest for ageless beauty and infinite luxury, la prairie goes beyond ordinary skincare to intercept ageing at its source. our exquisite cellular creams, serums, treatments and skincare lines all perform with unparalleled refinement and results. this commitment to exceptional skincare treatment has made la prairie the choice of the world’s most discerning women. experience the promise of timeless beauty, fulfilled. it all began with a quest for timeless beauty, the primary mission of the clinique la prairie in Montreux, Switzerland and the inspiration for our revolutionary skincare formulas. a pioneer in cellular anti-ageing therapies, la prairie has always harnessed ingredients both rare and beneficial. today, with cutting edge biotechnology and our patented cellular complex, the formulations have become the most luxurious on earth. a pioneer in cellular anti-ageing therapies and cutting edge biotechnology, laboratories la prairie cellular research is at the heart of a revolution in skincare. our exclusive cellular complex is a patented formula which activates the skins metabolism and delays the signs of ageing. this breakthrough enhances the capacity of skin cells to survive and promotes the skin’s natural defense system.""",,"Cosmetics, Salon, Spas , Optics"
Label by Ritu Kumar,All week days - 11am to 10pm.,Palladium Third Level,,,"In 2002, Ritu Kumar launched a sub-brand LABEL Ritu Kumar. LABEL uses the established forte of traditional Indian aesthetic to create fashion oriented international products. The brand’s charter involves pushing boundaries and forging alliances with design talent across the world to create a unique, sophisticated product. This is aimed at the young, global Indian woman with a contemporary lifestyle. LABEL retails from most Ritu Kumar stores as well as some standalone stores.",,Designer Wear
Lacoste,All week days - 11am to 10pm.,Palladium Second Level,,,"At the end of the 1920s, Rene Lacoste, for his own personal use, designed and had a batch of loose-knit cotton shirts made. Comfortable and completely sweat-absorbent, this shirt made it easier to bear the heat on the American courts. It was an immediate revolution for tennis players of the time, who up to then had been wearing long-sleeved traditional city shirts with warp and weft fabric. The first LACOSTE shirt was white, slightly shorter than its contemporaries, with short sleeves and a ribbed collar. Its light, loose-knit fabric represented none other than the ""jersey petit pique"". By teaming up with the great hosier Andre Gillier in 1933, Rene Lacoste launched the industrial production of his polo shirt marked with a crocodile and thus gave birth to the LACOSTE L.12.12 shirt; L for Lacoste, 1 to describe the fabric, petit pique cotton, 2 for the short sleeve design (for a long sleeve it would be 1312), and finally 12, the number of versions presented to Rene Lacoste. It was the first time a brand was visible on the outside of a piece of clothing.",,Mens Fashion
Lakme Absolute,All week days - 11am to 10pm.,Grand Galleria Ground Level,,,"Contemporary Indian beauty expert Lakmé continuously innovates to offer a wide range of high performance and world class color cosmetics, skincare products, and beauty salons. Combining international cosmetic technology with an in-depth understanding of the Indian woman’s needs, Lakmé also offers its consumers a comprehensive beauty experience through its products and services at the Lakmé Salons and Studios.",,"Cosmetics, Salon, Spas , Optics"
Lancome,All week days - 11am to 10pm.,Temporarily closed. Opening soon at Palladium Second Level,,,"Touted as the worlds No. 1 luxury beauty brand, Lancome unveils its flagship boutique at High Street Phoenix. The objective of Lancome products is to bring the best of science that pleasures the senses. Lancome at High Street Phoenix offers Skincare, Make up and Fragrances that are best sellers worldwide.",,
LATIN QUARTERS,All week days - 11am to 10pm.,Skyzone First Level,,,"Semi casual, evening and party wear and accessories for women with a streak of designer style and substance.",,Womens Fashion
Lee,All week days - 11am to 10pm.,Skyzone Ground Level,,,"Lee was one of the first international brand to be made available to the Indian market, the first to offer such a wide range in Jeans fashion apparel for men and women offering a variety of fits and fabrics .",,General Fashion
Levis,All week days - 11am to 10pm.,Skyzone Ground Level,,,"One of the pioneers in denim wear, Levis is well known for jeans and accessories clothing in American. Levis provides wide range and fit for casual wear for young and adults alike looking for great pair of jeans .",,General Fashion
Lifestyle,All week days - 11am to 10pm.,SkyZone,,,"The departmental store has a range of merchandise that include apparel, sportswear, household items, children and infant wear. The range also include accessories both from internatioanl and national brands.",,"Department Stores, Mini Department Store"
Loccitane,All week days - 11am to 10pm.,Palladium First Level,,,"The story of L’OCCITANE began in 1976, in the hills of Haute-Provence, a region of Southern France that lies between the Alps and the Mediterranean. LOCCITANE has drawn inspiration from traditional Provencal techniques to create natural beauty products devoted to well-being and the pleasure of taking care of oneself. Nurtured by encounters and journeys, the brand has grown and developed. There is a story behind all of our products, most often related to the land of Provence. The meaning and purpose of the brand are based on strong values: respect for both man and environment, with an emphasis on exchange and sharing. In 1989, beyond the Mediterranean, LOCCITANE initiated a sustainable development program in Burkina Faso around the production of Shea Butter. In 1997, it introduced Braille Labelling on its packaging for the first time. And in 2006, it created the first large-scale organic Immortelle plantation in Corsica, to protect integrity of the Corsican Maquis.",,"Cosmetics, Salon, Spas , Optics"
Lords Shoes,All week days - 11am to 10pm.,HSU Ground Level,,,"A leading trendsetter and popular footwear brand for 4 decades LORD’S is a name synonymous with reliability and quality, an image guaranteeing style and comfort, a brand that has earned its reputation and goodwill by catering to the footwear needs of families for over 40 years. Lord’s is today one of the leading trendsetters specializing in footwear retail. Awards ISAA 2012 award for the ‘Most Admired Footwear Retailer -West -at the India Fashion Forum. ISAA 2013 award for the ""Most Admired Footwear Retailer -West""",,"Foot Fashion, Bags, Luggage , Accessories"
Louis Philippe,All week days - 11am to 10pm.,SkyZone Ground Level,,,Louis Philippe offers mens formal shirts and suits including accessories that are quality crafted for style and comfort. The range gives you the serious look you always wanted for formal meetings and office wear on the go.,,Mens Fashion
"Mac, Clinique , Estee Lauder",All week days - 11am to 10pm.,Palladium Second Floor,,,"MAC (Make-up Art Cosmetics), a leading brand of professional cosmetics, was created in Toronto, Canada in 1984 and is part of The Estée Lauder Companies, Inc. The company’s popularity has grown through a tradition of word-of-mouth endorsement from makeup artists, models, photographers and journalists around the world. MAC is now sold in 89 countries/territories worldwide. Follow MAC and MAC Senior Artists on Twitter @MACcosmetics (twitter.com/maccosmetics and a list of the Senior Artists can be found here twitter.com/MACcosmetics/mac-senior-artists/members), become a MAC fan on Facebook (facebook.com/maccosmetics) and watch MACvideos on YouTube (youtube.com/maccosmetics). For a MAC location visit maccosmetics.in",,"Cosmetics, Salon, Spas , Optics"
Mad Over Donuts,All week days - 11am to 10pm.,Courtyard,,,"We believe your donuts should taste great every time and we source the highest quality ingredients from around the globe to give you that Love at First Bite!® experience. We believe in freshness and make our donuts fresh throughout the day. We believe in something for everybody and have dozens of flavours to pick from including glaze, fruit, chocolate and even savoury , spicy donuts.",,"Cafes, Restaurants , Desserts"
Mainland China,All week days - 11am to 10pm.,Palladium Third Level,,,"The latest brand launched by the group promises another gastronomic adventure. Mainland China now brings all the legendary kitchens of Far-East under one roof - from the streets of Hong Kong, Singapore, Malaysia, Thailand, Japan, Korea, Myanmar and of course, China. In an happening format with a live kitchen, it adds an exciting new dimension to Mainland China. Cuisine Asia - parent to civilizations and home to more people than the world put together, is bound through time by one thing - their love for food. Hundreds of aromatic herbs, thousands of exotic ingredients and sauces, millions of flavours, all steamed, tossed, stirred and fried in the legendary kitchens of Asia - this sums up Mainland China Asia Kitchen. Happy eating or as they say in Chinese, Chiåh Kah på!",,"Cafes, Restaurants , Desserts"
Mango,All week days - 11am to 10pm.,Palladium First Level,,,"MANGO - Spanish fashion brand for women is a prestigious multinational company dedicated to the design, manufacture and marketing of clothing garments and accessories for women. At Mango, our activity goes beyond the design, manufacture and marketing of clothing garments and accessories for women: It is the creation of a concept. MANGO is a brand of feminine fashion, with own-label designs for urban women between the ages of 18 to 35, who like dressing according to the latest trends at a reasonable price, with a good price / quality quotient.",,Womens Fashion
"Marks , Spencers",All week days - 11am to 10pm.,Skyzone Ground Level +1,,,"One of the UKs leading retailers in India, M,S offers high quality, great value clothing and home productss such as womens , mens clothing as well as homeware, perfumes , skincare products",,"Department Stores, Mini Department Store"
Maroosh,All week days - 11am to 10pm.,Courtyard,,,"A Semi-Mediterranean-North-Indian-Lebanses joint, Maroosh serves food ranging from rolls to falafels to biryanis",,"Cafes, Restaurants , Desserts"
Maspar,All week days - 11am to 10pm.,Skyzone First Level,,,"Maspar was set up in the year 2002. With over 40 years of experience in manufacturing and supplying to international brands, maspar was set up specifically to cater to the Indian market and the products are designed according to international trends. maspar operates through its 9 exclusive stores in India, and has expanded its presence in 35 different locations since the last 4 years in Home Décor Stores, and is further expanding their presence in Independent retailers across India and in the International market. Maspar offers a complete solution to furnish with their completely co-ordinate textiles for every room of the house living-room, bed-room, bathroom and the dining hall. maspar also offers a range of accessories both for personal use and gifting made from maspar fabrics. For further information, please log on to: www.maspar.com",,"Home Decor / Accessories, Gifts , Hobbies"
McDonalds Restaurant,All week days - 11am to 10pm.,Courtyard,,,"McDonalds Corporation is the worlds largest chain of burger fast food restaurants, serving more than 58 million customers daily. They dish out burgers, french fries, wraps, milk shakes and ice creams that many consider irresistible.",,"Cafes, Restaurants , Desserts"
Metro Shoes,All week days - 11am to 10pm.,Skyzone Ground Level,,,Metro provides you a range of instore brand range of quality footwear for the entire family. The store also stocks accessories.,,"Foot Fashion, Bags, Luggage , Accessories"
Michael Kors,All week days - 11am to 10pm.,Palladium Ground Level,,,"Michael Kors is a world-renowned, award-winning designer of luxury accessories and ready-to-wear. His namesake company, established in 1981, currently produces a range of products under his signature Michael Kors Collection and MICHAEL Michael Kors labels. These products include accessories, footwear, watches, jewelry, men’s and women’s ready-to-wear, eyewear and a full line of fragrance products. Behind this burgeoning empire stands a singular designer with an innate sense of glamour and an unfailing eye for timeless chic. Michael Kors has won numerous awards within the fashion industry, been honored for his philanthropy, and earned the respect and affection of millions. Wholly dedicated to a vision of style that is as pragmatic as it is indulgent, as timeless as it is modern, Michael Kors has created an enduring and iconic luxury lifestyle empire with a global reach.",,"Foot Fashion, Bags, Luggage , Accessories"
Microsoft Priority,All week days - 11am to 10pm.,,,,,,"Electronics, Gizmos , Gadgets"
Mineral,All week days - 11am to 10pm.,GG Connect,,,"Mineral, a ready-to-wear label which brings postmodernism to fashion. The collection is inspired by the color of minerals. Look forward to a play of different fabrics, recombination of prints with checks and extraordinary silhouettes. Textures like crush and pleats mingle with romantic floral prints, stripes and checks. All this is further amalgamated in a crochet with a palette of cottons and linens. Bright, fun cottons are styled with bright accessories to give you that chic, grungy look for the summer.",,Womens Fashion
Mogra,All week days - 11am to 10pm.,Skyzone First Level,,,"Mogra has a range of exclusive garments for women ranging from designer tussor, kancheepuram, kalamkari and georgette saris to casual wear in knits and cotton. Party wear with crystal encrusted corsets is a favorite with many customers. This store was the first in Gayatri Ruias chain of exclusive stores for the trendy person of any age.",,Womens Fashion
